order_value,customer_age,previous_orders,previous_returns,delivery_days,payment_method,customer_rating,return_rate,returned
9314,52,7,2,2,CARD,2.5,0.2857142857142857,1
383,46,20,3,10,COD,2.1,0.15,1
7955,59,29,9,4,COD,2.3,0.3103448275862069,0
3558,45,15,5,4,COD,2.9,0.3333333333333333,1
6815,35,11,9,1,COD,4.9,0.8181818181818182,1
9790,31,8,6,10,UPI,3.7,0.75,1
6997,35,29,3,8,CARD,3.1,0.10344827586206896,0
8928,45,21,7,1,UPI,4.7,0.3333333333333333,1
7878,41,7,4,8,COD,3.4,0.5714285714285714,1
5898,25,26,0,7,COD,2.9,0.0,1
1473,59,19,3,9,UPI,4.8,0.15789473684210525,0
6853,62,23,2,8,CARD,4.5,0.08695652173913043,1
1296,25,11,8,5,COD,4.5,0.7272727272727273,1
9697,21,11,7,8,UPI,3.5,0.6363636363636364,1
9307,44,24,0,10,COD,4.4,0.0,1
8202,53,21,10,3,COD,2.5,0.47619047619047616,1
4447,22,4,0,10,UPI,3.7,0.0,0
9420,50,8,6,7,COD,5.0,0.75,1
5514,51,24,3,4,UPI,2.9,0.125,0
3554,47,3,0,5,COD,4.4,0.0,0
470,25,22,0,9,UPI,3.5,0.0,1
1386,56,21,1,7,COD,2.1,0.047619047619047616,1
6505,64,2,0,4,CARD,4.3,0.0,1
2598,43,24,10,6,COD,2.5,0.4166666666666667,1
7195,54,12,4,10,CARD,3.9,0.3333333333333333,1
7499,51,30,7,7,CARD,2.3,0.23333333333333334,1
4382,24,6,5,10,CARD,4.8,0.8333333333333334,1
2430,57,2,1,9,UPI,2.9,0.5,1
6711,45,28,2,4,UPI,2.7,0.07142857142857142,1
328,56,21,5,10,COD,2.4,0.23809523809523808,1
9661,56,1,1,3,COD,4.8,1.0,1
3872,45,12,9,8,COD,4.1,0.75,1
9993,31,26,2,1,COD,4.2,0.07692307692307693,0
4965,55,22,5,9,CARD,3.5,0.22727272727272727,1
4170,21,29,5,1,COD,3.4,0.1724137931034483,1
7745,59,12,1,2,UPI,2.3,0.08333333333333333,0
5752,35,25,6,8,UPI,3.7,0.24,0
827,61,17,1,9,UPI,2.7,0.058823529411764705,0
6789,42,27,5,7,UPI,4.9,0.18518518518518517,0
2244,24,27,0,3,COD,4.4,0.0,0
2541,55,10,2,7,UPI,3.2,0.2,1
6084,45,28,1,6,COD,2.5,0.03571428571428571,1
8385,22,28,6,2,CARD,4.4,0.21428571428571427,0
449,20,16,3,3,UPI,2.4,0.1875,1
3125,61,15,7,10,CARD,2.6,0.4666666666666667,0
5243,48,30,5,10,COD,2.6,0.16666666666666666,0
1174,64,30,9,5,COD,3.7,0.3,1
9717,59,15,3,10,COD,4.4,0.2,1
7392,37,30,4,4,COD,2.9,0.13333333333333333,1
9375,36,19,8,2,COD,2.3,0.42105263157894735,1
9280,28,12,6,4,UPI,3.4,0.5,1
2872,57,23,9,8,COD,4.2,0.391304347826087,1
7479,20,20,8,5,UPI,2.7,0.4,1
7731,40,25,6,5,CARD,2.7,0.24,0
9718,24,3,3,10,UPI,4.8,1.0,1
8862,40,5,3,3,COD,4.9,0.6,1
2187,24,19,0,8,COD,5.0,0.0,0
290,63,7,7,6,UPI,4.4,1.0,1
8921,51,21,7,2,COD,2.6,0.3333333333333333,1
4259,59,9,3,2,UPI,2.6,0.3333333333333333,1
2973,36,7,2,9,COD,3.0,0.2857142857142857,1
8583,26,18,6,7,CARD,3.0,0.3333333333333333,1
7609,35,4,3,10,UPI,4.9,0.75,1
4640,58,25,2,9,UPI,4.4,0.08,1
7547,62,28,7,6,COD,4.2,0.25,0
1208,59,14,5,5,COD,2.6,0.35714285714285715,0
3983,42,18,4,1,UPI,4.7,0.2222222222222222,0
6846,31,26,3,6,UPI,4.5,0.11538461538461539,0
4498,61,9,7,6,COD,2.5,0.7777777777777778,1
4868,42,26,7,3,COD,4.6,0.2692307692307692,1
4487,36,21,0,3,COD,2.8,0.0,0
2252,56,2,0,3,UPI,2.2,0.0,1
6209,32,20,4,3,COD,4.0,0.2,0
1916,33,28,3,7,UPI,4.0,0.10714285714285714,1
510,44,15,5,10,UPI,2.3,0.3333333333333333,1
4738,57,28,5,2,UPI,3.0,0.17857142857142858,0
1460,27,7,1,10,CARD,5.0,0.14285714285714285,1
4132,21,12,7,10,CARD,4.0,0.5833333333333334,1
784,36,29,6,2,UPI,4.2,0.20689655172413793,1
7816,45,8,0,3,COD,2.6,0.0,1
8751,38,15,4,10,COD,2.2,0.26666666666666666,1
3066,64,3,3,7,UPI,2.8,1.0,1
6098,31,14,5,3,UPI,2.7,0.35714285714285715,1
2211,50,17,3,7,UPI,2.7,0.17647058823529413,1
6451,27,4,1,9,COD,2.6,0.25,1
5139,36,18,3,10,UPI,3.7,0.16666666666666666,0
4206,47,8,0,4,COD,3.0,0.0,0
1825,39,4,1,7,UPI,4.5,0.25,1
1090,20,2,0,9,COD,2.6,0.0,1
6278,54,30,1,8,UPI,3.4,0.03333333333333333,0
7236,58,6,0,8,COD,2.0,0.0,1
9123,35,22,4,9,COD,3.4,0.18181818181818182,0
4161,28,10,1,5,UPI,2.2,0.1,0
2704,19,4,2,5,COD,4.9,0.5,1
9006,29,22,8,3,UPI,4.4,0.36363636363636365,0
4006,23,29,8,5,UPI,3.5,0.27586206896551724,1
6300,60,18,0,8,UPI,2.3,0.0,1
1919,57,26,10,5,COD,3.8,0.38461538461538464,1
6886,61,12,2,4,UPI,4.3,0.16666666666666666,1
1787,46,2,1,8,UPI,2.6,0.5,1
7200,47,10,6,7,UPI,3.7,0.6,1
1096,19,30,9,6,UPI,4.4,0.3,0
5758,26,4,3,5,COD,4.3,0.75,1
8669,64,14,1,5,COD,4.4,0.07142857142857142,0
4847,19,16,6,10,COD,4.6,0.375,1
2632,46,15,5,2,COD,4.8,0.3333333333333333,1
